Date,Close/Last,Volume,Open,High,Low,Adjusted Close
01/19/2024,94.977,N/A,94.977,94.977,94.977,94.977
01/18/2024,94.934,N/A,94.934,94.934,94.934,94.934
01/17/2024,94.732,N/A,94.732,94.732,94.732,94.732
01/16/2024,94.832,N/A,94.832,94.832,94.832,94.832
01/12/2024,95.194,N/A,95.194,95.194,95.194,95.194
01/11/2024,94.994,N/A,94.994,94.994,94.994,94.994
01/10/2024,94.983,N/A,94.983,94.983,94.983,94.983
01/09/2024,94.882,N/A,94.882,94.882,94.882,94.882
01/08/2024,94.951,N/A,94.951,94.951,94.951,94.951
01/05/2024,94.79,N/A,94.79,94.79,94.79,94.79
01/04/2024,94.785,N/A,94.785,94.785,94.785,94.785
01/03/2024,94.829,N/A,94.829,94.829,94.829,94.829
01/02/2024,94.986,N/A,94.986,94.986,94.986,94.986
12/29/2023,95.052,N/A,95.052,95.052,95.052,95.052
12/28/2023,94.934,N/A,94.934,94.934,94.934,94.934
12/27/2023,94.948,N/A,94.948,94.948,94.948,94.948
12/26/2023,94.808,N/A,94.808,94.808,94.808,94.808
12/22/2023,94.714,N/A,94.714,94.714,94.714,94.714
12/21/2023,94.647,N/A,94.647,94.647,94.647,94.647
12/20/2023,94.728,N/A,94.728,94.728,94.728,94.728
12/19/2023,94.594,N/A,94.594,94.594,94.594,94.594
12/18/2023,94.569,N/A,94.569,94.569,94.569,94.569
12/15/2023,94.258,N/A,94.258,94.258,94.258,94.258
12/14/2023,94.32,N/A,94.32,94.32,94.32,94.32
12/13/2023,94.107,N/A,94.107,94.107,94.107,94.107
12/12/2023,93.758,N/A,93.758,93.758,93.758,93.758
12/11/2023,93.566,N/A,93.566,93.566,93.566,93.566
12/08/2023,93.566,N/A,93.566,93.566,93.566,93.566
12/07/2023,93.758,N/A,93.758,93.758,93.758,93.758
12/06/2023,93.68,N/A,93.68,93.68,93.68,93.68
12/05/2023,93.747,N/A,93.747,93.747,93.747,93.747
12/04/2023,93.457,N/A,93.457,93.457,93.457,93.457
12/01/2023,93.602,N/A,93.602,93.602,93.602,93.602
11/30/2023,93.602,N/A,93.602,93.602,93.602,93.602
11/29/2023,93.602,N/A,93.602,93.602,93.602,93.602
11/28/2023,93.315,N/A,93.315,93.315,93.315,93.315
11/27/2023,93.301,N/A,93.301,93.301,93.301,93.301
11/24/2023,93.282,N/A,93.282,93.282,93.282,93.282
11/22/2023,93.282,N/A,93.282,93.282,93.282,93.282
11/21/2023,93.289,N/A,93.289,93.289,93.289,93.289
11/20/2023,93.259,N/A,93.259,93.259,93.259,93.259
11/17/2023,93.192,N/A,93.192,93.192,93.192,93.192
11/16/2023,93.105,N/A,93.105,93.105,93.105,93.105
11/15/2023,92.94,N/A,92.94,92.94,92.94,92.94
11/14/2023,92.86,N/A,92.86,92.86,92.86,92.86
